order_id,customer_name,email,product,category,amount,unit_price,order_date,country,status
ORD-00001,Camila Silva,camila.silva1@example.com,laptop,electronics,3,1438.77,2025-03-13,Brazil,paid
ORD-00002,Ethan Brown,ethan.brown2@example.com,smartphone,electronics,4,906.58,2025-02-17,United Kingdom,paid
ORD-00003,Arjun Mehta,arjun.mehta3@example.com,tablet,electronics,5,730.15,2025-04-12,India,refunded
ORD-00004,Priya Sharma,priya.sharma4@example.com,headphones,electronics,5,202.55,2025-01-04,India,paid
ORD-00005,Zuzana Nováková,zuzana.novakova5@example.com,usb_hub,accessories,3,42.52,2025-06-22,Slovakia,paid
ORD-00006,Ethan Brown,ethan.brown6@example.com,webcam,electronics,1,127.07,2025-06-26,United Kingdom,pending
ORD-00007,Javier Martínez,javier.martinez7@example.com,docking_station,accessories,4,241.39,2025-07-13,Spain,paid
ORD-00008,Amir Hakim,amir.hakim8@example.com,office_desk,furniture,5,573.30,2025-07-05,Malaysia,paid
ORD-00009,Anna Müller,anna.muller9@example.com,laptop,electronics,2,1565.54,2025-02-10,Germany,paid
ORD-00010,Emma Johnson,emma.johnson10@example.com,webcam,electronics,3,129.03,2025-07-06,United States,paid
ORD-00011,Erik Johansen,erik.johansen11@example.com,usb_hub,accessories,2,46.23,2025-12-26,Norway,paid
ORD-00012,Emre Kaya,emre.kaya12@example.com,tablet,electronics,2,747.45,2025-07-14,Türkiye,pending
ORD-00013,Priya Sharma,priya.sharma13@example.com,external_ssd,storage,3,174.05,2025-01-29,India,paid
ORD-00014,María García,maria.garcia14@example.com,mechanical_keyboard,accessories,3,142.71,2025-02-03,Spain,paid
ORD-00015,Amina Yusuf,amina.yusuf15@example.com,mouse,accessories,4,34.42,2025-11-26,Nigeria,cancelled
ORD-00016,Lucía Herrera,lucia.herrera16@example.com,desk_chair,furniture,2,652.43,2025-10-15,Mexico,pending
ORD-00017,Zuzana Nováková,zuzana.novakova17@example.com,graphics_tablet,electronics,5,305.01,2025-04-23,Slovakia,paid
ORD-00018,Noam Levi,noam.levi18@example.com,headphones,electronics,1,218.59,2025-02-26,Israel,paid
ORD-00019,Merve Yılmaz,merve.ylmaz19@example.com,mechanical_keyboard,accessories,4,147.24,2025-07-17,Türkiye,refunded
ORD-00020,Miguel Reyes,miguel.reyes20@example.com,tablet,electronics,3,849.54,2025-01-06,Philippines,paid
ORD-00021,Nguyễn Minh Anh,nguyen.minh.anh21@example.com,mechanical_keyboard,accessories,3,135.99,2025-08-11,Vietnam,paid
ORD-00022,Isabella Santos,isabella.santos22@example.com,laptop,electronics,3,1613.25,2025-04-02,Philippines,paid
ORD-00023,Fatima Zahra,fatima.zahra23@example.com,office_desk,furniture,5,549.42,2025-03-20,Morocco,failed
ORD-00024,Merve Yılmaz,merve.ylmaz24@example.com,tablet,electronics,5,842.90,2025-11-03,Türkiye,failed
ORD-00025,Mia Anderson,mia.anderson25@example.com,laptop,electronics,1,1602.98,2025-06-07,Canada,paid
ORD-00026,Étienne Moreau,etienne.moreau26@example.com,mouse,accessories,5,37.50,2025-02-13,France,cancelled
ORD-00027,Anna Müller,anna.muller27@example.com,mechanical_keyboard,accessories,5,151.17,2025-03-07,Germany,cancelled
ORD-00028,Emre Kaya,emre.kaya28@example.com,desk_chair,furniture,5,720.52,2025-08-05,Türkiye,paid
